message,label
"I love this product, it's amazing!",pos
This is the worst purchase I’ve ever made.,neg
Absolutely fantastic experience!,pos
I am very disappointed with the service.,neg
The quality exceeded my expectations.,pos
Totally not worth the money.,neg
Support team was very helpful and kind.,pos
The item broke after one use.,neg
I'm really happy with my decision.,pos
The delivery was super late and damaged.,neg
Such a great value for the price!,pos
"I regret buying this, it's awful.",neg
The app works flawlessly.,pos
This product is a complete waste.,neg
Incredible customer service and fast response.,pos
